Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
SGD PHARMA,4.2,(40 Reviews),Private,"Puteaux,Haut De Seine + 1 more",125 years old,"1001-5000
						employees
						(Global)"
National Corporati...,4.1,(40 Reviews),Private,Abu Dhabi + 3 more,25 years old,"1001-5000
						employees
						(Global)"
Ognibene India,4.0,(40 Reviews),Reggio Emilia + 1 more,68 years old,"1001-5000
						employees
						(Global)",
Ssnr Projects.pvt....,3.2,(40 Reviews),"Visakhapatnam/Vizag,Andhra Pradesh + 4 more",9 years old,"201-500
						employees
						(Global)",
Mobicule Technolog...,2.5,(40 Reviews),Private,"Mumbai,Maharashtra + 1 more",13 years old,"201-500
						employees
						(Global)"
Marwadi University,3.2,(40 Reviews),Private,Rajkot + 2 more,5 years old,
Krebs Biochemicals...,4.1,(40 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 2 more",30 years old,"11-50
						employees
						(Global)"
Dlecta Foods,3.8,(40 Reviews),"Mumbai,Maharashtra + 8 more",20 years old,,
Garuda Polyflex Fo...,4.3,(40 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",9 years old,"501-1000
						employees
						(India)"
Anthelio Business ...,4.2,(40 Reviews),Bezons + 2 more,14 years old,"1001-5000
						employees
						(Global)",
Zydus Animal Healt...,4.0,(40 Reviews),Ahmedabad + 8 more,21 years old,,
Metropolitan Trans...,4.1,(40 Reviews),Private,Chennai + 8 more,49 years old,"501-1000
						employees
						(Global)"
Shirodkar Preci Co...,3.8,(40 Reviews),Private,Pune,16 years old,"501-1000
						employees
						(Global)"
JSL Stainless,4.0,(40 Reviews),New Delhi + 5 more,51 years old,"1001-5000
						employees
						(Global)",
Dheeraj Realty,3.5,(40 Reviews),Mumbai,43 years old,,
Magnum Mi Steel,3.6,(40 Reviews),Bawal + 2 more,19 years old,,
Choithram Hospital...,3.6,(40 Reviews),Private,Indore,42 years old,"1001-5000
						employees
						(Global)"
Sara Technologies,4.0,(40 Reviews),Private,"Noida,Uttar Pradesh + 4 more",12 years old,"11-50
						employees
						(Global)"
APTRON Solutions,3.9,(40 Reviews),Private,"Noida,Uttar Pradesh + 2 more",18 years old,"51-200
						employees
						(Global)"
KARL STORZ,4.3,(40 Reviews),Private,Tuttlingen + 9 more,76 years old,"51-200
						employees
						(India)"
Arki Techno Consul...,3.3,(40 Reviews),Private,Bhubaneswar + 6 more,14 years old,"201-500
						employees
						(Global)"
Systems Plus Trans...,4.3,(40 Reviews),Private,Mumbai,"201-500
						employees
						(Global)",
The Tree House,3.9,(40 Reviews),Private,Mumbai + 12 more,18 years old,
Max Mobility,3.0,(40 Reviews),Private,"Kolkata,West Bengal + 1 more",17 years old,"201-500
						employees
						(Global)"
Shiksha Financial ...,3.9,(40 Reviews),Private,"Chennai,Tamil Nadu + 9 more",7 years old,"51-200
						employees
						(Global)"
Casepoint,3.5,(40 Reviews),Private,"Tysons,,Virginia",13 years old,"201-500
						employees
						(Global)"
National Rural Liv...,4.3,(40 Reviews),New Delhi + 15 more,10 years old,,
Kare Partners Hear...,3.2,(40 Reviews),Private,"Chandigarh,Chandigarh + 8 more",9 years old,"51-200
						employees
						(Global)"
Hemani Industries,4.2,(40 Reviews),Public,Mumbai + 4 more,29 years old,"501-1000
						employees
						(Global)"
Lingaya's Vidyapee...,2.8,(40 Reviews),Faridabad + 2 more,12 years old,"201-500
						employees
						(Global)",
HGS TECHNOLOGIES,3.8,(40 Reviews),Bengaluru/Bangalore + 7 more,"11-50
						employees
						(Global)",,
Rama University,2.5,(40 Reviews),"Kanpur,Uttar Pradesh + 6 more",25 years old,"501-1000
						employees
						(Global)",
Hero Housing Finan...,3.9,(40 Reviews),New Delhi + 14 more,4 years old,"501-1000
						employees
						(Global)",
Aditya Birla Insur...,4.2,(40 Reviews),Public,Veraval + 13 more,18 years old,"100001+
						employees
						(Global)"
MilestoneOS,4.2,(40 Reviews),Noida + 2 more,"11-50
						employees
						(Global)",,
QUADRANT RESOURCE ...,3.0,(40 Reviews),,,,
Mahatma Gandhi Uni...,3.2,(40 Reviews),Private,Kottayam + 12 more,38 years old,"1001-5000
						employees
						(Global)"
MITSUBISHI,4.4,(40 Reviews),Private,Tokyo + 14 more,51 years old,"50001-100000
						employees
						(Global)"
DreamOrbit,4.1,(40 Reviews),Private,"Bangalore/Bengaluru,Karnataka",11 years old,"201-500
						employees
						(Global)"
Sigma Infosolution...,3.5,(40 Reviews),Public,"Irvine,California + 3 more",17 years old,"201-500
						employees
						(Global)"
Monocept,4.3,(40 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",9 years old,"51-200
						employees
						(Global)"
ITTI,4.0,(40 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",28 years old,"201-500
						employees
						(Global)"
Haldor Topsoe,4.1,(40 Reviews),Private,Kongens Lyngby + 1 more,81 years old,"1001-5000
						employees
						(Global)"
IT By Design,2.7,(40 Reviews),Private,Jersey City + 1 more,18 years old,"501-1000
						employees
						(Global)"
M+W Group,4.3,(40 Reviews),Private,Stuttgart + 6 more,109 years old,"5001-10000
						employees
						(Global)"
Dorma India (P),4.6,(40 Reviews),Private,Chennai + 13 more,113 years old,"201-500
						employees
						(Global)"
EIH,4.0,(40 Reviews),Public,"Delhi/NCR,New Delhi + 7 more",72 years old,
Northern Railways,4.2,(40 Reviews),Public,New Delhi + 13 more,69 years old,"10001-50000
						employees
						(Global)"
Heureux Software S...,4.5,(40 Reviews),"Delhi/NCR,Delhi",6 years old,"11-50
						employees
						(Global)",
Utracon Structural...,3.8,(40 Reviews),Private,Singapore + 9 more,23 years old,"1001-5000
						employees
						(Global)"
Amoda Group of Ind...,4.1,(40 Reviews),Hyderabad + 2 more,17 years old,"11-50
						employees
						(Global)",
Eltech Appliances,2.8,(40 Reviews),Private,Chennai + 12 more,9 years old,
Ayoki Cembol Erect...,4.0,(40 Reviews),Private,Pune + 1 more,,
K R Rubberite,3.3,(40 Reviews),,,,
L&tgeostructure Ll...,4.2,(40 Reviews),Chennai + 6 more,9 years old,"501-1000
						employees
						(Global)",
HMD Global,4.3,(40 Reviews),Private,Espoo + 17 more,5 years old,"501-1000
						employees
						(Global)"
Disposafe Health A...,3.0,(40 Reviews),Public,"Delhi/NCR,New Delhi + 3 more",14 years old,"1001-5000
						employees
						(India)"
Sekhani Industries,3.3,(40 Reviews),Ahmedabad + 11 more,51 years old,"501-1000
						employees
						(Global)",
Zeiss Pharma,3.9,(40 Reviews),Private,Baddi + 5 more,7 years old,
Shri Ram Murti Sma...,3.8,(40 Reviews),Private,Bareilly + 1 more,31 years old,"501-1000
						employees
						(Global)"
Tata Boeing Aerosp...,3.8,(40 Reviews),Private,"Delhi/NCR,Delhi + 2 more",6 years old,
FliqaIndia,4.9,(40 Reviews),Private,"Kolkata,West Bengal + 2 more",2 years old,"11-50
						employees
						(India)"
Source Desk Global...,4.4,(40 Reviews),"Toronto,Ontario",11 years old,,
Mitel,3.2,(40 Reviews),Private,"Kanata,Ontario + 2 more",49 years old,"1001-5000
						employees
						(Global)"
Shiv Nadar Univers...,4.4,(40 Reviews),Private,"Noida,Uttar Pradesh + 5 more",10 years old,"201-500
						employees
						(Global)"
Lasons India,3.5,(40 Reviews),Private,"Mumbai,Maharashtra + 5 more",42 years old,"51-200
						employees
						(Global)"
Pristyn Care,2.7,(40 Reviews),Delhi + 5 more,,,
Egon Zehnder Inter...,3.8,(40 Reviews),Private,Zurich + 1 more,57 years old,"1001-5000
						employees
						(Global)"
Ami Organics,3.9,(40 Reviews),Public,"Surat,Gujrat",14 years old,"201-500
						employees
						(Global)"
FIL Industries,4.0,(40 Reviews),"Delhi/NCR,Delhi + 3 more",32 years old,"501-1000
						employees
						(Global)",
Classic Marble Com...,3.1,(40 Reviews),Mumbai + 4 more,27 years old,"5001-10000
						employees
						(Global)",
Stanley Lifestyles,3.9,(40 Reviews),Public,Bengaluru + 2 more,25 years old,
Ikk Group Of Compa...,4.1,(39 Reviews),Jeddah + 2 more,52 years old,"10001-50000
						employees
						(Global)",
Acclaris Business ...,4.1,(39 Reviews),Private,London + 2 more,193 years old,"201-500
						employees
						(Global)"
Enviro Infra Engin...,3.3,(39 Reviews),Private,New Delhi + 6 more,12 years old,"11-50
						employees
						(Global)"
Elegant Network Se...,4.3,(39 Reviews),Mumbai + 12 more,10 years old,"11-50
						employees
						(Global)",
Gadre Marine Expor...,4.0,(39 Reviews),Ratnagiri + 5 more,43 years old,"10001-50000
						employees
						(Global)",
Marsh India Insura...,4.2,(39 Reviews),Private,Mumbai + 8 more,18 years old,"501-1000
						employees
						(Global)"
Midmark Corporatio...,4.1,(39 Reviews),Private,"Mumbai,Maharashtra + 9 more",106 years old,"1001-5000
						employees
						(Global)"
FMCG Distribution,4.0,(39 Reviews),Lagos + 18 more,,,
Ginza Industries,3.8,(39 Reviews),Public,Mumbai + 5 more,35 years old,"1001-5000
						employees
						(Global)"
Sterling Auxiliari...,3.1,(39 Reviews),Mumbai + 4 more,37 years old,"201-500
						employees
						(Global)",
Megasoft,3.7,(39 Reviews),Public,Hyderabad + 2 more,27 years old,"201-500
						employees
						(Global)"
Bazar India,4.3,(39 Reviews),Private,Gurgaon + 14 more,6 years old,
Xanadu Realty,3.6,(39 Reviews),"Mumbai,Maharashtra + 4 more",6 years old,"201-500
						employees
						(India)",
Huf India,3.1,(39 Reviews),Private,Pune,13 years old,"5001-10000
						employees
						(Global)"
Ratnasagar Herbals,4.5,(39 Reviews),Private,Kolkata + 13 more,16 years old,"11-50
						employees
						(Global)"
Parekh Group,3.9,(39 Reviews),Private,"Mumbai,Maharashtra + 14 more",70 years old,"1001-5000
						employees
						(Global)"
Anant Raj,3.9,(39 Reviews),Public,"Delhi/NCR,New Delhi + 5 more",52 years old,
KIMPLAS PIPING SYS...,3.5,(39 Reviews),Public,Nashik + 3 more,25 years old,"501-1000
						employees
						(Global)"
Avinash Group,4.3,(39 Reviews),Private,Raipur + 2 more,25 years old,"201-500
						employees
						(Global)"
Tiger Security Gua...,2.7,(39 Reviews),Private,Lucknow + 4 more,27 years old,
Salasar Techno Eng...,4.1,(39 Reviews),Public,New Delhi + 5 more,15 years old,"201-500
						employees
						(Global)"
Akshar Elecinfra,3.9,(39 Reviews),Private,Vadodara + 4 more,35 years old,"501-1000
						employees
						(Global)"
BIZONGO,2.5,(39 Reviews),Private,"Mumbai,Maharashtra + 5 more",6 years old,"201-500
						employees
						(Global)"
Podar World School,3.3,(39 Reviews),Private,Mumbai + 4 more,94 years old,"5001-10000
						employees
						(Global)"
Thiripura Chits,3.2,(39 Reviews),Private,Chennai + 8 more,18 years old,"1001-5000
						employees
						(Global)"
Sree Behariji Mill...,4.3,(39 Reviews),Private,Patna + 10 more,81 years old,"1001-5000
						employees
						(Global)"
Hamad Internationa...,4.4,(39 Reviews),Doha + 1 more,7 years old,"1001-5000
						employees
						(Global)",
Simeio Solutions,4.1,(39 Reviews),Private,"Mumbai,Maharashtra + 1 more",12 years old,"201-500
						employees
						(India)"
Pind Balluchi,4.4,(39 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",29 years old,"501-1000
						employees
						(Global)"
HNG Float Glass,3.6,(39 Reviews),Private,Kolkata + 9 more,75 years old,"5001-10000
						employees
						(Global)"
Kept Bug Technolog...,3.4,(39 Reviews),Private,Noida + 3 more,10 years old,"51-200
						employees
						(Global)"
Ample Softech Syst...,4.4,(39 Reviews),Private,Pune,18 years old,"51-200
						employees
						(Global)"
Capital Aim,2.3,(39 Reviews),"Indore,Madhya Pradesh",10 years old,"201-500
						employees
						(Global)",
Continental Carbon...,4.3,(39 Reviews),Private,Ghaziabad,21 years old,
Enrich Salon and A...,3.8,(39 Reviews),Mumbai + 6 more,24 years old,"1001-5000
						employees
						(Global)",
OKS Group,3.8,(39 Reviews),Private,Bala Cynwyd + 3 more,36 years old,"1001-5000
						employees
						(Global)"
Network Bulls,4.0,(39 Reviews),Private,"Gurgaon/Gurugram,Haryana",12 years old,"51-200
						employees
						(Global)"
D Thakkar Construc...,4.5,(39 Reviews),Nagpur + 3 more,,,
TUI India,3.7,(39 Reviews),Private,Gurugram + 8 more,16 years old,"11-50
						employees
						(Global)"
Uniworld Logistics,3.7,(39 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",19 years old,"501-1000
						employees
						(Global)"
Bhaskar Industries,4.3,(39 Reviews),Private,Bhopal + 4 more,63 years old,"201-500
						employees
						(Global)"
CAMP Systems,3.8,(39 Reviews),Private,Merrimack + 2 more,53 years old,"501-1000
						employees
						(Global)"
PRG BUILDCON,4.1,(39 Reviews),Private,Hyderabad + 2 more,7 years old,"201-500
						employees
						(Global)"
Shivam Enterprise,4.3,(39 Reviews),Private,Ahmedabad + 17 more,24 years old,"51-200
						employees
						(Global)"
Mantri Metallics,4.3,(39 Reviews),Kolhapur + 1 more,26 years old,"1001-5000
						employees
						(Global)",
State Bank of Pati...,3.9,(39 Reviews),Private,"Patiala,Punjab + 5 more",104 years old,"5001-10000
						employees
						(Global)"
Dreamfolks,4.9,(39 Reviews),Private,"Gurgaon,Haryana + 1 more",10 years old,"51-200
						employees
						(Global)"
Outsource Partners...,3.7,(39 Reviews),Private,New York + 2 more,23 years old,"1001-5000
						employees
						(Global)"
Srg Earth Resource...,3.7,(39 Reviews),Private,Kolkata + 3 more,17 years old,"1001-5000
						employees
						(Global)"
Mewar Hospital,3.9,(39 Reviews),Private,"Udaipur,Rajasthan + 8 more",23 years old,"501-1000
						employees
						(Global)"
Eenadu Television,4.0,(39 Reviews),Private,Hyderabad + 5 more,30 years old,"501-1000
						employees
						(Global)"
Acg Inspection Sys...,4.0,(39 Reviews),"Mumbai,Maharashtra",12 years old,,
Bedmutha Industrie...,3.9,(39 Reviews),Public,"Nasik/Nashik,Maharashtra + 3 more",31 years old,"1001-5000
						employees
						(Global)"
Renishaw,3.6,(39 Reviews),Private,"Wotton-under-Edge,Gloucestershire",48 years old,"1001-5000
						employees
						(Global)"
Gulfspic,4.2,(39 Reviews),Private,Kuwait City + 3 more,24 years old,"1001-5000
						employees
						(Global)"
India Pesticides,4.0,(39 Reviews),Private,Bareilly + 5 more,37 years old,
Krishna Constructi...,4.4,(39 Reviews),New Delhi + 14 more,33 years old,,
Jamkash Vehicleade...,4.0,(39 Reviews),Srinagar + 2 more,18 years old,,
Suresh Gyan Vihar ...,3.7,(39 Reviews),Private,"Jaipur,Rajasthan",28 years old,"201-500
						employees
						(Global)"
Alvas Education Fo...,4.4,(39 Reviews),Moodabidri + 1 more,26 years old,"51-200
						employees
						(Global)",
Nurture Software S...,1.8,(39 Reviews),Private,Bangalore + 1 more,17 years old,"201-500
						employees
						(Global)"
YMCA,4.0,(39 Reviews),Private,Chicago + 10 more,177 years old,"10001-50000
						employees
						(Global)"
SSPL,3.1,(39 Reviews),Private,Hyderabad + 11 more,18 years old,"11-50
						employees
						(Global)"
Nicco Engineering ...,3.7,(39 Reviews),Public,Kolkata + 7 more,41 years old,"201-500
						employees
						(Global)"
SR Foils & Tissue,2.2,(39 Reviews),Private,New Delhi + 6 more,24 years old,"201-500
						employees
						(Global)"
Indosolar,3.7,(39 Reviews),Public,"Delhi/NCR,Delhi + 2 more",13 years old,"201-500
						employees
						(Global)"
Tata Indicom,4.5,(39 Reviews),Public,Mumbai + 20 more,25 years old,"1001-5000
						employees
						(Global)"
Arihant Capital Ma...,3.3,(39 Reviews),Public,"Mumbai,Maharashtra + 9 more",29 years old,"201-500
						employees
						(Global)"
I.C.A.,4.0,(39 Reviews),Private,Kolkata + 16 more,22 years old,"1001-5000
						employees
						(Global)"
Supreme Court of I...,4.5,(39 Reviews),Private,New Delhi + 2 more,71 years old,"1001-5000
						employees
						(Global)"
CHC Healthcare,3.4,(39 Reviews),New Delhi + 6 more,16 years old,"201-500
						employees
						(Global)",
Desiccant Rotors I...,3.7,(39 Reviews),Private,Gurgaon + 1 more,37 years old,"201-500
						employees
						(Global)"
Sigma Corporation ...,3.7,(39 Reviews),Private,New Delhi + 4 more,57 years old,"501-1000
						employees
						(Global)"
Elegant Network Se...,4.3,(39 Reviews),Mumbai + 12 more,10 years old,"11-50
						employees
						(Global)",
Nipman Fastener In...,3.6,(39 Reviews),Gurugram + 6 more,24 years old,,
Ikk Group Of Compa...,4.1,(39 Reviews),Jeddah + 2 more,52 years old,"10001-50000
						employees
						(Global)",
Suresh Gyan Vihar ...,3.7,(39 Reviews),Private,"Jaipur,Rajasthan",28 years old,"201-500
						employees
						(Global)"
Alvas Education Fo...,4.4,(39 Reviews),Moodabidri + 1 more,26 years old,"51-200
						employees
						(Global)",
SSPL,3.1,(39 Reviews),Private,Hyderabad + 11 more,18 years old,"11-50
						employees
						(Global)"
Nicco Engineering ...,3.7,(39 Reviews),Public,Kolkata + 7 more,41 years old,"201-500
						employees
						(Global)"
SR Foils & Tissue,2.2,(39 Reviews),Private,New Delhi + 6 more,24 years old,"201-500
						employees
						(Global)"
Indosolar,3.7,(39 Reviews),Public,"Delhi/NCR,Delhi + 2 more",13 years old,"201-500
						employees
						(Global)"
Tata Indicom,4.5,(39 Reviews),Public,Mumbai + 20 more,25 years old,"1001-5000
						employees
						(Global)"
Bazar India,4.3,(39 Reviews),Private,Gurgaon + 14 more,6 years old,
Xanadu Realty,3.6,(39 Reviews),"Mumbai,Maharashtra + 4 more",6 years old,"201-500
						employees
						(India)",
Huf India,3.1,(39 Reviews),Private,Pune,13 years old,"5001-10000
						employees
						(Global)"
TSI-YATRA.COM,3.7,(39 Reviews),Private,Shoreview + 11 more,"501-1000
						employees
						(Global)",
Elgi Ultra Industr...,4.2,(39 Reviews),Public,Coimbatore + 7 more,38 years old,"201-500
						employees
						(Global)"
Pondicherry Instit...,4.3,(39 Reviews),Puducherry,21 years old,"1001-5000
						employees
						(Global)",
Ozone Ayurvedics,3.9,(39 Reviews),New Delhi + 8 more,20 years old,"51-200
						employees
						(Global)",
Zscaler Softech,3.9,(39 Reviews),Private,"San Jose,California + 5 more","501-1000
						employees
						(Global)",
Therdose Pharma,3.3,(39 Reviews),Private,"Hyderabad/Secunderabad,Telangana",18 years old,"51-200
						employees
						(Global)"
Stellar Group,4.1,(39 Reviews),Private,Noida + 6 more,25 years old,"201-500
						employees
						(Global)"
People Prime World...,3.7,(39 Reviews),Hyderabad + 2 more,9 years old,"201-500
						employees
						(Global)",
Replicon,3.4,(39 Reviews),Private,"Redwood City,California",25 years old,"201-500
						employees
						(Global)"
Rhenus Logistics,3.9,(39 Reviews),Private,Holzwickede + 10 more,109 years old,"10001-50000
						employees
						(Global)"
Hotel Surya,3.2,(39 Reviews),Private,Varanasi + 10 more,39 years old,"201-500
						employees
						(Global)"
Air India Express,3.4,(39 Reviews),Kochi + 6 more,16 years old,"1001-5000
						employees
						(Global)",
Monarch Networth C...,4.1,(39 Reviews),Public,"Ahmedabad,Gujarat + 14 more",28 years old,"501-1000
						employees
						(Global)"
CSAV Group,4.7,(39 Reviews),Private,Santiago + 2 more,149 years old,"51-200
						employees
						(Global)"
Lubi Electronics,4.0,(39 Reviews),"Ahmedabad,Gujarat + 7 more",56 years old,"1001-5000
						employees
						(Global)",
National Food Prod...,3.5,(39 Reviews),Public,Dubai + 6 more,50 years old,"1001-5000
						employees
						(Global)"
Oremus Corporate S...,3.7,(39 Reviews),Private,Hyderabad,19 years old,"201-500
						employees
						(Global)"
Nipman Fastener In...,3.6,(39 Reviews),Gurugram + 6 more,24 years old,,
Eidiko Systems Int...,3.3,(39 Reviews),Private,"Hyderabad/Secunderabad,Telangana",11 years old,"201-500
						employees
						(Global)"
Yash Papers,3.6,(39 Reviews),Public,"Faizabad,Uttar Pradesh",40 years old,"501-1000
						employees
						(Global)"
Woodenstreet.com,3.5,(39 Reviews),Private,Jaipur + 4 more,6 years old,"51-200
						employees
						(Global)"
Unimrkt Research,3.0,(39 Reviews),New York,12 years old,"51-200
						employees
						(Global)",
Cranedge,4.3,(39 Reviews),Private,Pune + 7 more,12 years old,"201-500
						employees
						(Global)"
Data Link Consulta...,4.3,(39 Reviews),Thane + 4 more,27 years old,"1001-5000
						employees
						(Global)",
JIL Information Te...,4.3,(39 Reviews),Private,"Noida,Uttar Pradesh + 6 more",21 years old,"201-500
						employees
						(Global)"
Abdul Latif Jameel,4.8,(39 Reviews),Public,Jeddah + 5 more,76 years old,"10001-50000
						employees
						(Global)"
Itron,3.5,(39 Reviews),Private,"Liberty Lake,Washington + 7 more",44 years old,"5001-10000
						employees
						(Global)"
Pacifica Companies,3.8,(39 Reviews),Private,"Ahmedabad,Gujarat + 3 more",43 years old,"5001-10000
						employees
						(Global)"
Hoerbiger,4.3,(39 Reviews),Private,"Pune,Maharashtra + 2 more",126 years old,"5001-10000
						employees
						(Global)"
Worldwide Oilfield...,4.1,(39 Reviews),Houston + 1 more,41 years old,"1001-5000
						employees
						(Global)",
Easun Reyrolle,2.5,(39 Reviews),Public,"Hosur,Tamil Nadu + 2 more",47 years old,"201-500
						employees
						(Global)"
Nucsoft,3.0,(39 Reviews),Private,"Mumbai,Maharashtra + 3 more",27 years old,"51-200
						employees
						(Global)"
AKR TEXTILE,3.6,(39 Reviews),Tirupur + 2 more,26 years old,"5001-10000
						employees
						(Global)",
Dana Group,3.5,(39 Reviews),Private,Lagos + 6 more,46 years old,"1001-5000
						employees
						(Global)"
Narayan Seva Sanst...,4.1,(39 Reviews),NGO/NPO,Udaipur + 2 more,36 years old,"501-1000
						employees
						(Global)"
Freudenberg Gala H...,4.3,(39 Reviews),Private,Mumbai + 6 more,12 years old,"201-500
						employees
						(Global)"
Rhenus Logistics,3.9,(39 Reviews),Private,Holzwickede + 10 more,109 years old,"10001-50000
						employees
						(Global)"
Hotel Surya,3.2,(39 Reviews),Private,Varanasi + 10 more,39 years old,"201-500
						employees
						(Global)"
Air India Express,3.4,(39 Reviews),Kochi + 6 more,16 years old,"1001-5000
						employees
						(Global)",
Monarch Networth C...,4.1,(39 Reviews),Public,"Ahmedabad,Gujarat + 14 more",28 years old,"501-1000
						employees
						(Global)"
CSAV Group,4.7,(39 Reviews),Private,Santiago + 2 more,149 years old,"51-200
						employees
						(Global)"
Lubi Electronics,4.0,(39 Reviews),"Ahmedabad,Gujarat + 7 more",56 years old,"1001-5000
						employees
						(Global)",
Rapid Global Busin...,4.0,(39 Reviews),Troy + 2 more,24 years old,"1001-5000
						employees
						(Global)",
TSI-YATRA.COM,3.7,(39 Reviews),Private,Shoreview + 11 more,"501-1000
						employees
						(Global)",
iGLOBAL IMPACT ITE...,3.9,(39 Reviews),Private,Durgapur,9 years old,"51-200
						employees
						(Global)"
Stellar Group,4.1,(39 Reviews),Private,Noida + 6 more,25 years old,"201-500
						employees
						(Global)"
Ruban Memorial Hos...,4.3,(39 Reviews),Private,Patna,21 years old,"501-1000
						employees
						(Global)"
Inductus Consultan...,3.4,(39 Reviews),Noida + 9 more,14 years old,"201-500
						employees
						(Global)",
Nxtgen Datacenter ...,3.9,(39 Reviews),Private,Bengaluru + 3 more,9 years old,"201-500
						employees
						(India)"
Dosti Realty,4.1,(39 Reviews),Public,"Mumbai,Maharashtra + 1 more",41 years old,"501-1000
						employees
						(Global)"
Kerry Ingredients,4.1,(39 Reviews),Bengaluru/Bangalore + 6 more,,,
UMSL,4.0,(39 Reviews),Public,Bhubaneswar + 3 more,31 years old,"201-500
						employees
						(Global)"
Dran Engineers,3.0,(39 Reviews),Private,Pune,39 years old,"51-200
						employees
						(Global)"
Jindal Pipes,4.5,(39 Reviews),Gurugram + 6 more,51 years old,,
Sree Metaliks,4.3,(39 Reviews),Public,Kolkata + 3 more,26 years old,"5001-10000
						employees
						(Global)"
Zones Corporate So...,3.3,(39 Reviews),Auburn,13 years old,"1001-5000
						employees
						(Global)",
Indian Institute o...,3.2,(39 Reviews),Kolkata + 4 more,,,
Rural Development ...,4.3,(39 Reviews),Ananthapuram + 4 more,52 years old,"1001-5000
						employees
						(Global)",
Lotus Valley Inter...,3.3,(39 Reviews),Private,"Noida,Uttar Pradesh + 4 more",17 years old,"201-500
						employees
						(Global)"
Hykon,3.1,(39 Reviews),"Thrissur/Trichur,Kerala + 6 more",30 years old,"501-1000
						employees
						(Global)",
New Era Consultanc...,2.9,(39 Reviews),New Delhi + 8 more,28 years old,,
Sandfits Foundries,3.7,(39 Reviews),"Coimbatore,Tamil Nadu",59 years old,"501-1000
						employees
						(Global)",
SRS,4.0,(39 Reviews),Private,"Faridabad,Haryana + 10 more",21 years old,"11-50
						employees
						(Global)"
MSS,4.1,(39 Reviews),Nashik + 5 more,,,
Government of Tela...,4.2,(39 Reviews),Hyderabad + 8 more,7 years old,"10001-50000
						employees
						(Global)",
iGLOBAL IMPACT ITE...,3.9,(39 Reviews),Private,Durgapur,9 years old,"51-200
						employees
						(Global)"
South India Krishn...,4.4,(39 Reviews),Private,New Delhi + 1 more,12 years old,"51-200
						employees
						(Global)"
Podar World School,3.3,(39 Reviews),Private,Mumbai + 4 more,94 years old,"5001-10000
						employees
						(Global)"
Simeio Solutions,4.1,(39 Reviews),Private,"Mumbai,Maharashtra + 1 more",12 years old,"201-500
						employees
						(India)"
Tiger Security Gua...,2.7,(39 Reviews),Private,Lucknow + 4 more,27 years old,
Enoc,4.3,(39 Reviews),Private,Dubai + 1 more,28 years old,"5001-10000
						employees
						(Global)"
Bonatti,4.7,(39 Reviews),Private,Parma + 1 more,75 years old,"10001-50000
						employees
						(Global)"
KIMPLAS PIPING SYS...,3.5,(39 Reviews),Public,Nashik + 3 more,25 years old,"501-1000
						employees
						(Global)"
State Bank of Pati...,3.9,(39 Reviews),Private,"Patiala,Punjab + 5 more",104 years old,"5001-10000
						employees
						(Global)"
Dreamfolks,4.9,(39 Reviews),Private,"Gurgaon,Haryana + 1 more",10 years old,"51-200
						employees
						(Global)"
Salasar Techno Eng...,4.1,(39 Reviews),Public,New Delhi + 5 more,15 years old,"201-500
						employees
						(Global)"
Janaswamy Associat...,4.2,(39 Reviews),Private,Mumbai + 3 more,24 years old,
CLEARSYNTH,3.2,(39 Reviews),,,,
Mr Cooper,4.3,(39 Reviews),Private,"Dallas,Texas",27 years old,"5001-10000
						employees
						(Global)"
Ib Automation Engi...,2.7,(39 Reviews),Private,Pune + 2 more,21 years old,
The Acetech Machin...,3.7,(39 Reviews),Private,"Coimbatore,Tamil Nadu + 1 more",19 years old,"1001-5000
						employees
						(Global)"
Anand Engineering ...,4.0,(39 Reviews),"Tiruchirappalli,Tamil Nadu",45 years old,"501-1000
						employees
						(Global)",
Newforce Global Se...,4.3,(39 Reviews),London + 3 more,16 years old,"51-200
						employees
						(Global)",
DNEG CREATIVE SERV...,3.6,(39 Reviews),Mumbai + 5 more,"1001-5000
						employees
						(Global)",,
MSC Technology,3.5,(39 Reviews),Private,"Chennai,Tamil Nadu + 2 more",14 years old,"501-1000
						employees
						(India)"
Premsons Motor Udy...,3.8,(39 Reviews),Private,"Ranchi,Jharkhand + 1 more",25 years old,
Asia Chennai Engin...,3.7,(39 Reviews),Private,"Chennai,Tamil Nadu + 4 more",58 years old,"51-200
						employees
						(Global)"
Skims,4.3,(39 Reviews),Private,Srinagar + 1 more,39 years old,"1001-5000
						employees
						(Global)"
Ccs Technologies,3.9,(39 Reviews),Private,"Kochi/Cochin,Kerala + 5 more",41 years old,"201-500
						employees
						(Global)"
ACN Infotech,4.1,(39 Reviews),Private,Visakhapatnam + 2 more,20 years old,"201-500
						employees
						(Global)"
Spl Infrastructure,4.2,(39 Reviews),Private,Chennai + 2 more,44 years old,"201-500
						employees
						(Global)"
Ujala Credit Co-Op...,4.1,(39 Reviews),Public,New Delhi + 16 more,9 years old,"501-1000
						employees
						(Global)"
